section,item,value,low,central,high,unit,basis,evidence,note
directions_test,acquisition-relevant base,36.5,,,,website clicks/month,last 12 complete months 2025-09..2026-08: 438 website clicks,observed,"use 37 website clicks/month, not 92 total actions/month, for any booking-path sizing"
observed_funnel,Organic Search session -> intro-call CTA click,2.59%,,,,pct,"18 CTA-click sessions / 695 Organic Search sessions, Jun-Aug 2026","observed, n=18 sessions","closest available analogue to a GBP website click: a discovery-intent visitor landing on the site. Paid 1.59%, Direct 0.71%, all three blended 1.39%."
observed_funnel,intro-call CTA click -> completed intro call,41% raw / 28% adjusted,,,,pct,"59 CTA click events -> 24 intro-call purchase events, Jun-Aug 2026; adjusted for the archive's stated ~45% purchase overcount",observed,independently corroborated: CLAUDE.md records 47 clicks -> 17 bookings = 36% over Jul 1-Sep 3.
observed_funnel,current GBP website clicks -> completed intro calls,0.35,0.2,0.35,0.75,bookings/month,36.5 clicks x (2-5% CTA-click rate) x (28-41% completion),derived from the two rows above,The entire GBP website-click channel is worth well under one booking a month today. That is the number a booking link is trying to beat.
observed_funnel,clinic-wide intro calls actually booked,~3.4 / 8.3 / 4.8 (Jun/Jul/Aug 2026),,,,bookings/month,GA4 intro-call purchase events 5/12/7 divided by the 1.45 overcount factor,"observed, indicative","Task brief quotes 'roughly 3.4 self-booked intro calls a week at high ad spend'. The archive's own figure is nearer 3-8 a MONTH. If the weekly figure comes from the Acuity export it supersedes this; the discrepancy is unresolved here and matters, because it is the denominator for every scenario below."
booking_link_scenario,booking-link clicks per month,,3.7,9.1,18.2,clicks/month,assumed as 10% / 25% / 50% of the website button's 36.5 clicks per month,ASSUMPTION - no PNH data exists on booking-button click rate,"PNH has never had a booking link, so there is no observed value to anchor this on. This is the single widest uncertainty in the estimate."
booking_link_scenario,scheduler arrival -> booking,,15%,28%,41%,pct,low discounts PNH's observed 28% because a profile tap is less deliberate than a site CTA click; central = PNH's observed adjusted rate; high = PNH's observed raw rate,central and high are observed; low is a judgement discount,
booking_link_scenario,NET incremental intro calls,,0.5,2.5,7.3,bookings/month,"clicks x completion, minus the share of today's 0.35 site-path bookings that simply move to the new path",derived,round to roughly +0.5 / +2.5 / +7 a month
booking_link_scenario,"NET incremental intro calls, annual",,6,30,88,bookings/year,12x the monthly row,derived,"sanity check: the clinic books roughly 3-8 intro calls a month today. The central case is a 30-50% lift from one button; the high case would more than double clinic-wide intro-call volume and should be treated as a ceiling to falsify, not a target."
booking_link_scenario,conditional first-visit revenue,,$913,"$4,397","$13,022",USD/year,annual intro calls x ASSUMED 1-in-3 intro-to-new-patient conversion x $450 adult first visit,ASSUMPTION - intro-to-patient conversion is NOT in this archive,"The 1-in-3 is invented. Jacob can replace it in ten minutes from the Acuity export and should before quoting any dollar figure. Excludes follow-up revenue, so it is a floor if the rate holds."
review_position,lifetime reviews,15,,,,count,gmb-review-totals-lifetime.csv,observed,average 5.0
review_position,most recent review,2025-12-02,,,,date,gmb-reviews.csv,observed,9.2 months stale as of 2026-09-08
review_position,organic acquisition rate,2.0,,,,reviews/year,3 reviews in the 18-month window; 15 over ~96 months since Sept 2018 = 1.9/yr,"observed, two agreeing estimates",
review_position,appointments per year (denominator),~310,250,,360,appointments/year,GA4 purchase events Jun-Aug 2026 avg 37.7/mo / 1.45 overcount factor,indicative only,GA4 purchase is not a ledger. The Acuity export is the real denominator and is not in this archive.
review_scenario,new reviews per year from a request routine,,8,20,46,reviews/year,310 visits x ask rate (25/50/75%) x response rate (10/13/20%),"ASSUMPTION - PNH has never run a request routine, so the response rate has no local anchor",
review_scenario,review count after 12 months,,23,35,62,count,15 today plus the row above,derived,
review_scenario,effect on ranking or profile views,not estimable,,,,,"attempted: views in the months after each of the 3 reviews in the window (Apr, Jun, Dec 2025) are indistinguishable from noise",test underpowered at n=3,"Count, recency, rating and proximity are established local-ranking inputs. HOW MUCH ranking would move for +20 reviews is a causal claim this archive cannot support. What is certain is the recency change: from 9 months stale to continuously fresh."
review_scenario,risk note,,,,,,,,"A 5.0 average across only 15 reviews is a small sample; adding volume can only move the average down. That is a reason to ask well, not a reason not to ask."
action_ranking,1. UTM-tag the profile website URL (and the booking link when added),"10 min, one-time",,,,effort,0 bookings directly,verified: gmb-location-metadata.csv shows the website URL as a plain https://pankanaturalhealth.com/ with no parameters,"Prerequisite. GBP website clicks currently land untagged and are invisible inside GA4's Organic Search bucket, so nothing on this list can be measured after the fact. Use utm_source=gbp&utm_medium=organic to isolate GBP without moving it out of the Organic Search channel. Note it creates a deliberate break in the GA4 channel series."
action_ranking,2. Add a plain merchant booking link to /schedule-an-appointment?appointmentType=41826455,"10 min to add, 5 min to test end-to-end",,,,effort,"+6 to +88 intro calls/yr, central ~+30",NOTES-gbp-booking-link-compliance.md; funnel ratios in this file,"Highest expected value on this list and the smallest effort of the substantive items. Gated only on the compliance verdict, which is already in: a typed-in merchant link is safe; Reserve with Google is not, and must never be enabled. Test the URL yourself first - the appointmentType parameter must actually preselect the intro call."
action_ranking,3. Complete categories and the services list,"30-45 min, one-time",,,,effort,not estimable in bookings,gmb-location-metadata.csv location_additional_categories is empty for both listings; gmb-search-keywords-bucket-summary.csv,"The live listing carries ONE category (Naturopathic practitioner) and zero additional categories, verified. 66% of profile search volume is discovery intent, and categories are what decide which discovery queries can surface the profile. Sequenced AFTER the booking link on purpose: at today's leaky path, +10% profile views is worth about +0.04 bookings a month; with a booking link in place the same +10% is worth about +0.26. Visibility work pays roughly six times more once the path exists."
action_ranking,4. Start a review request routine,"2 min per patient, ongoing forever",,,,effort,"+8 to +47 reviews/yr, central ~+20",gmb-reviews.csv; gmb-review-totals-lifetime.csv,Only item on the list whose cost is recurring. Its strongest argument is not volume but recency: the newest review is 9 months old and recency is the one review attribute that decays without action. Do not attach a booking or ranking number to it.
action_ranking,5. File to remove the duplicate listing (10418367222074184209),"30-60 min to file, then weeks of waiting",,,,effort,0 measurable traffic gain,gmb-location-metadata.csv; gmb-monthly-by-location.csv returns NO_DATA for every month,"Ranked here, not first, deliberately. The duplicate has recorded zero views and zero actions in 550 days, so there is no traffic to recover and the 'it dilutes ranking' argument is plausible but entirely unmeasured. Its real value is risk removal: it is a guidelines violation sharing name, phone and website with the live listing, it is categorised differently (Medical clinic), and nobody is watching it if it collects a wrong address or a bad review."
action_ranking,6. Posting and photo cadence,"recurring, 15-30 min/week",,,,effort,weakest evidence on this list,gmb-monthly-media-and-reviews.csv,"Three photos in 18 months (one in Jun 2025, two in Jun 2026). The GMB connector exposes no post metrics at all, so there is no way to measure this from any data PNH holds, before or after. Last on effort-adjusted grounds, not because it is worthless."
